datim_uid,period,partner,snu,psnu,sitename,latitude,longitude,indicator,value,pais
i4KTQ0RGK3T,2021-03-20,ECHO,Sofala,Beira,Cerâmica CS,-19.8456,34.8413,TPT Completed,421,Mocambique
i4KTQ0RGK3T,2021-03-20,ECHO,Sofala,Beira,Cerâmica CS,-19.8456,34.8413,TPT Not Comp,315,Mocambique
i4KTQ0RGK3T,2021-03-20,ECHO,Sofala,Beira,Cerâmica CS,-19.8456,34.8413,Recent Active TB TX,13,Mocambique
i4KTQ0RGK3T,2021-03-20,ECHO,Sofala,Beira,Cerâmica CS,-19.8456,34.8413,Recent Pos TB Screen,4,Mocambique
i4KTQ0RGK3T,2021-03-20,ECHO,Sofala,Beira,Cerâmica CS,-19.8456,34.8413,Actively on TPT,143,Mocambique
i4KTQ0RGK3T,2021-03-20,ECHO,Sofala,Beira,Cerâmica CS,-19.8456,34.8413,TX_CURR,736,Mocambique
i4KTQ0RGK3T,2021-03-20,ECHO,Sofala,Beira,Cerâmica CS,-19.8456,34.8413,TPT Candidates,155,Mocambique
i4KTQ0RGK3T,2021-03-20,ECHO,Sofala,Beira,Cerâmica CS,-19.8456,34.8413,TPT Ineligible,17,Mocambique
hFwwNnFm1B8,2021-03-20,ECHO,Sofala,Beira,Chamba PS,-19.74602,34.84725,TPT Completed,296,Mocambique
hFwwNnFm1B8,2021-03-20,ECHO,Sofala,Beira,Chamba PS,-19.74602,34.84725,TPT Not Comp,969,Mocambique
hFwwNnFm1B8,2021-03-20,ECHO,Sofala,Beira,Chamba PS,-19.74602,34.84725,Recent Active TB TX,3,Mocambique
hFwwNnFm1B8,2021-03-20,ECHO,Sofala,Beira,Chamba PS,-19.74602,34.84725,Recent Pos TB Screen,3,Mocambique
hFwwNnFm1B8,2021-03-20,ECHO,Sofala,Beira,Chamba PS,-19.74602,34.84725,Actively on TPT,202,Mocambique
hFwwNnFm1B8,2021-03-20,ECHO,Sofala,Beira,Chamba PS,-19.74602,34.84725,TX_CURR,1266,Mocambique
hFwwNnFm1B8,2021-03-20,ECHO,Sofala,Beira,Chamba PS,-19.74602,34.84725,TPT Candidates,762,Mocambique
hFwwNnFm1B8,2021-03-20,ECHO,Sofala,Beira,Chamba PS,-19.74602,34.84725,TPT Ineligible,6,Mocambique
aoY0wrz6qBF,2021-03-20,ECHO,Sofala,Beira,Chota PS,-19.81536,34.88223,TPT Completed,409,Mocambique
aoY0wrz6qBF,2021-03-20,ECHO,Sofala,Beira,Chota PS,-19.81536,34.88223,TPT Not Comp,823,Mocambique
